NAME OF THE PLAYER,POS,HEIGHT,WEIGHT,NUMBER,DOB,EXP,PRIOR TO NBA,COUNTRY
"Will
Barton",G,6-5,181 lbs,5,1/6/1991,8,Memphis/United States,United States
"Bol
Bol",C-F,7-2,220 lbs,10,11/16/1999,1,Oregon/Sudan,Sudan
"Facundo
Campazzo",,,,,3/23/1991,0,,
"Vlatko
Cancar",F,6-8,236 lbs,31,4/10/1997,1,San Pablo Burgos/Slovenia,Slovenia
"PJ
Dozier",G-F,6-6,205 lbs,35,10/25/1996,3,South Carolina/United States,United States
"JaMychal
Green",F-C,6-8,227 lbs,4,6/21/1990,6,Alabama/United States,United States
"R.J.
Hampton",G,6-4,175 lbs,,2/7/2001,0,New Zealand Breakers/United States,United States
"Gary
Harris",G,6-4,210 lbs,14,9/14/1994,6,Michigan State/United States,United States
"Isaiah
Hartenstein",C-F,7-0,250 lbs,25,5/5/1998,2,Zalgiris/Germany,Germany
"Markus
Howard",G,5-11,175 lbs,,3/3/1999,0,Marquette/United States,United States
"Nikola
Jokic",C,7-0,284 lbs,15,2/19/1995,5,Mega Basket/Serbia,Serbia
"Paul
Millsap",F,6-7,257 lbs,4,2/10/1985,14,Louisiana Tech/United States,United States
"Monte
Morris",G,6-2,183 lbs,11,6/27/1995,3,Iowa State/United States,United States
"Jamal
Murray",G,6-4,215 lbs,27,2/23/1997,4,Kentucky/Canada,Canada
"Zeke
Nnaji",F-C,6-11,240 lbs,,1/9/2001,0,Arizona/United States,United States
"Michael
Porter Jr.",F,6-10,218 lbs,1,6/29/1998,1,Missouri/United States,United States
"Greg
Whittington",F,6-9,210 lbs,,2/7/1993,0,Georgetown/United States,United States