Season,G,FGM,FGA,TPM,TPA,FTM,FTA,OFF,DEF,PTS,REB,AST,STL,BLK,TO,PF
2020 Season,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019 Season,65,2510,5730,678,2032,1214,1511,647,2138,6912,2785,1663,534,299,969,1304
2018 Season,82,3612,7361,1087,2824,1339,1672,797,2990,9650,3787,2413,625,525,1169,1757
2017 Season,82,3509,6979,926,2369,1360,1668,691,2877,9304,3568,2402,656,612,1265,1607
2016 Season,82,3532,7140,982,2562,1457,1850,770,2873,9503,3643,2491,785,555,1211,1585
2015 Season,82,3489,7159,1077,2592,1366,1790,816,2972,9421,3788,2373,689,498,1245,1701
2014 Season,82,3410,7137,883,2217,1313,1709,853,2814,9016,3667,2248,762,496,1185,1628
2013 Season,82,3236,7005,774,2037,1303,1731,896,2819,8549,3715,1912,642,407,1247,1784
2012 Season,82,3130,6840,658,1632,1378,1744,885,2801,8296,3686,1845,567,346,1236,1753
2011 Season,66,2489,5443,524,1351,951,1235,640,1947,6453,2587,1470,528,362,915,1410