Name,G,GS,MPG,FG%,3P%,FT%,OFF,DEF,PPG,RPG,APG,SPG,BPG,TO,PF
"Sterling
Brown",2,0,24,27.3,1/13/1900,100,0,4.5,4.5,4.5,1.5,2,0.5,0.5,2
"Bruno
Caboclo",4,0,20.3,46.4,2/18/1900,66.7,0.3,4,9.5,4.3,1.8,1,1.8,1,3.8
"Chris
Clemons",3,0,12.7,27.8,1/24/1900,100,0,2.7,5,2.7,1.3,0,0.7,0.7,2
"DeMarcus
Cousins",3,3,17.7,50,2/14/1900,75,1.3,6,10.3,7.3,1.3,2,1.7,1.7,3.3
"Eric
Gordon",4,4,21.5,51.2,2/8/1900,77.8,0.3,1,15,1.3,3,0,0,1.3,0.5
"James
Harden",2,2,24,45.8,2/9/1900,83.3,0,5,16,5,6.5,1.5,0,4,1
"Danuel
House Jr.",4,3,21.3,34.6,2/1/1900,50,1.3,3.8,6.3,5,0.3,0.5,0.3,0.8,1.2
"Mason
Jones",4,0,6.5,22.2,2/18/1900,100,0,1.3,2.5,1.3,0.8,0,0,0.5,1
"Kenyon
Martin Jr.",3,0,8.7,44.4,12/30/1899,100,0.7,2.3,3,3,0.7,0.3,0,1.7,1.3
"Ben
McLemore",4,0,21,46.9,2/1/1900,83.3,0.8,1,10.5,1.8,0.5,0.5,0,0.8,0.5
"David
Nwaba",4,0,16.3,42.3,12/30/1899,100,1,1.3,6.3,2.3,0.3,2,1,0.3,2.8
"Jae'Sean
Tate",4,2,15.3,46.7,12/30/1899,25,1.5,3.3,3.8,4.8,1,1,0,0.3,2
"Brodric
Thomas",3,0,8.7,30,1/24/1900,100,0,1.3,2.7,1.3,0.3,0,0.3,0,0.3
"P.J.
Tucker",2,2,23.5,66.7,3/6/1900,100,0,2,7,2,1,0,0,0,2.5
"John
Wall",3,3,23,47.5,2/1/1900,58.3,0.7,2.3,16.3,3,5.3,1.7,0.3,3,2.7
"Christian
Wood",1,1,24,55.6,2/1/1900,100,0,10,27,10,2,1,1,0,1